billing_id,customer_id,bill_date,amount,paid,late_payment
1,1,2024-01-01,662.82,1,0
2,1,2024-02-01,590.68,1,0
3,1,2024-03-01,564.33,1,0
4,1,2024-04-01,600.59,1,1
5,1,2024-05-01,617.91,1,0
6,1,2024-06-01,560.82,1,0
7,2,2024-01-01,970.43,1,0
8,2,2024-02-01,1029.85,1,0
9,2,2024-03-01,1036.53,1,0
10,2,2024-04-01,969.75,1,0
11,2,2024-05-01,1078.17,1,0
12,2,2024-06-01,1051.07,1,0
13,3,2024-01-01,565.78,1,0
14,3,2024-02-01,670.02,1,0
15,3,2024-03-01,634.1,1,0
16,3,2024-04-01,671.4,1,0
17,3,2024-05-01,567.86,1,0
18,3,2024-06-01,573.77,1,0
19,4,2024-01-01,2069.09,1,0
20,4,2024-02-01,2029.44,1,0
21,4,2024-03-01,2018.39,1,1
22,4,2024-04-01,2070.2,1,1
23,4,2024-05-01,2046.82,1,1
24,4,2024-06-01,1962.99,1,0
25,5,2024-01-01,2076.7,1,1
26,5,2024-02-01,2078.27,1,0
27,5,2024-03-01,2034.45,1,1
28,5,2024-04-01,1961.3,1,0
29,5,2024-05-01,1996.46,1,0
30,5,2024-06-01,1996.13,1,0
31,6,2024-01-01,1082.46,1,0
32,6,2024-02-01,991.26,1,0
33,6,2024-03-01,1052.12,1,0
34,6,2024-04-01,986.67,1,1
35,6,2024-05-01,1044.14,1,1
36,6,2024-06-01,999.03,1,0
37,7,2024-01-01,395.08,1,0
38,7,2024-02-01,284.51,1,0
39,7,2024-03-01,275.56,1,0
40,7,2024-04-01,387.67,1,0
41,7,2024-05-01,349.49,1,0
42,7,2024-06-01,272.88,1,0
43,8,2024-01-01,565.26,1,0
44,8,2024-02-01,596.05,1,0
45,8,2024-03-01,606.78,1,0
46,8,2024-04-01,655.32,0,0
47,8,2024-05-01,629.77,1,0
48,8,2024-06-01,649.59,1,1
49,9,2024-01-01,650.34,1,0
50,9,2024-02-01,692.97,1,0
51,9,2024-03-01,591.57,1,0
52,9,2024-04-01,563.01,1,0
53,9,2024-05-01,595.56,1,0
54,9,2024-06-01,555.93,1,0
55,10,2024-01-01,2061.77,1,0
56,10,2024-02-01,2065.65,1,0
57,10,2024-03-01,2014.98,1,0
58,10,2024-04-01,1999.38,1,1
59,10,2024-05-01,1971.62,1,0
60,10,2024-06-01,1981.09,1,0
61,11,2024-01-01,1096.11,1,0
62,11,2024-02-01,1037.78,1,1
63,11,2024-03-01,1013.29,1,0
